cross_pair,d0_cross,d0_same,abs_diff
block_cont_r11__lead_cont_r1,0.103199,0.103207,8e-06
block_cont_r11__lead_cont_r10,0.147537,0.146819,0.000718
block_cont_r11__lead_cont_r11,0.153313,0.153275,3.8e-05
block_cont_r11__lead_cont_r12,0.136321,0.136152,0.000169
block_cont_r11__lead_cont_r2,0.127262,0.127438,0.000176
block_cont_r11__lead_cont_r3,0.155151,0.155659,0.000508
block_cont_r11__lead_cont_r4,0.17591,0.175721,0.000189
block_cont_r11__lead_cont_r5,0.131414,0.132301,0.000887
block_cont_r11__lead_cont_r6,0.151308,0.151097,0.000211
block_cont_r11__lead_cont_r7,0.136494,0.136659,0.000165
block_cont_r11__lead_cont_r8,0.146992,0.146819,0.000173
block_cont_r11__lead_cont_r9,0.145926,0.145884,4.2e-05
block_cont_r11__lead_nec_r1,0.394898,0.395117,0.000219
block_cont_r11__lead_nec_r10,0.403084,0.403087,3e-06
block_cont_r11__lead_nec_r11,0.399296,0.397989,0.001307
block_cont_r11__lead_nec_r12,0.416763,0.416569,0.000194
block_cont_r11__lead_nec_r2,0.418967,0.419308,0.000341
block_cont_r11__lead_nec_r3,0.401141,0.402049,0.000908
block_cont_r11__lead_nec_r4,0.414406,0.414202,0.000204
block_cont_r11__lead_nec_r5,0.399253,0.397989,0.001264
block_cont_r11__lead_nec_r6,0.420295,0.419308,0.000987
block_cont_r11__lead_nec_r7,0.416936,0.417143,0.000207
block_cont_r11__lead_nec_r8,0.402492,0.402464,2.8e-05
block_cont_r11__lead_nec_r9,0.407841,0.407802,3.9e-05
block_cont_r11__lead_opt_r1,0.408069,0.407802,0.000267
block_cont_r11__lead_opt_r10,0.394775,0.394652,0.000123
block_cont_r11__lead_opt_r11,0.434458,0.43433,0.000128
block_cont_r11__lead_opt_r12,0.42243,0.422555,0.000125
block_cont_r11__lead_opt_r2,0.424564,0.42498,0.000416
block_cont_r11__lead_opt_r3,0.397593,0.397654,6.1e-05
block_cont_r11__lead_opt_r4,0.422297,0.422177,0.00012
block_cont_r11__lead_opt_r5,0.392796,0.392826,3e-05
block_cont_r11__lead_opt_r6,0.404864,0.404827,3.7e-05
block_cont_r11__lead_opt_r7,0.394813,0.394652,0.000161
block_cont_r11__lead_opt_r8,0.383213,0.383311,9.8e-05
block_cont_r11__lead_opt_r9,0.392899,0.392826,7.3e-05
block_cont_r12__cross_clear_r1,0.327013,0.327027,1.4e-05
block_cont_r12__cross_clear_r10,0.150097,0.149925,0.000172
block_cont_r12__cross_clear_r11,0.357313,0.357355,4.2e-05
block_cont_r12__cross_clear_r12,0.205457,0.202886,0.002571
block_cont_r12__cross_clear_r2,0.294062,0.294338,0.000276
block_cont_r12__cross_clear_r3,0.379538,0.37969,0.000152
block_cont_r12__cross_clear_r4,0.336976,0.336967,9e-06
block_cont_r12__cross_clear_r5,0.31612,0.316247,0.000127
block_cont_r12__cross_clear_r6,0.215094,0.214853,0.000241
block_cont_r12__cross_clear_r7,0.353135,0.353068,6.7e-05
block_cont_r12__cross_clear_r8,0.287033,0.286361,0.000672
block_cont_r12__cross_clear_r9,0.273235,0.273648,0.000413
block_cont_r12__cross_stall_occ_r1,0.015319,0.01529,2.9e-05
block_cont_r12__cross_stall_occ_r10,0.062559,0.062552,7e-06
block_cont_r12__cross_stall_occ_r11,0.025289,0.025289,0.0
block_cont_r12__cross_stall_occ_r12,0.047545,0.048118,0.000573
block_cont_r12__cross_stall_occ_r2,0.029125,0.029076,4.9e-05
