pair_id,pair_type,state_i,state_j,probe_action,d0_mean,d1_action,feasibility_agree,both_valid,both_infeasible,one_valid
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U5,0.050927,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U6,0.050927,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_01,cross,c1_block_cont_01,c1_cross_stall_occ_01,U7,0.050927,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U0,0.052159,0.042087,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U1,0.052159,0.047822,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U2,0.052159,0.053265,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U3,0.052159,0.060758,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U4,0.052159,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U5,0.052159,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U6,0.052159,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_02,cross,c1_block_cont_01,c1_cross_stall_occ_02,U7,0.052159,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U0,0.086735,0.058197,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U1,0.086735,0.059879,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U2,0.086735,0.061367,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U3,0.086735,0.054977,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U4,0.086735,0.045798,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U5,0.086735,0.010857,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U6,0.086735,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_03,cross,c1_block_cont_01,c1_cross_stall_occ_03,U7,0.086735,0.0,1,1,0,0
c1_block_cont_01__c1_cross_stall_occ_04,cross,c1_block_cont_01,c1_cross_stall_occ_04,U0,0.088373,0.059424,1,1,0,0
