state_i,state_j,coarse_i,coarse_j,same_group,d0_8,d0_10,d1_8
c1_block_cont_05,c1_cross_clear_06,block_or_occupancy,cross,0,0.2962578125,0.3263159375,0.254491796875
c1_block_cont_05,c1_cross_clear_07,block_or_occupancy,cross,0,0.24157304687499997,0.2839965625,0.15687641601562502
c1_block_cont_05,c1_cross_clear_08,block_or_occupancy,cross,0,0.11821210937499999,0.1341434375,0.09523496093750002
c1_block_cont_05,c1_cross_stall_01,block_or_occupancy,cross,0,0.349004296875,0.3839459375,0.279423974609375
c1_block_cont_05,c1_cross_stall_02,block_or_occupancy,cross,0,0.359709765625,0.3948596875,0.28679130859375
c1_block_cont_05,c1_cross_stall_03,block_or_occupancy,cross,0,0.365520703125,0.4009771875,0.290010595703125
c1_block_cont_05,c1_cross_stall_04,block_or_occupancy,cross,0,0.358183203125,0.39394875,0.284851025390625
c1_block_cont_05,c1_cross_stall_05,block_or_occupancy,cross,0,0.35945703125,0.39527625,0.28553540039062497
c1_block_cont_05,c1_cross_stall_06,block_or_occupancy,cross,0,0.33629453125,0.37205656249999997,0.2666673828125
c1_block_cont_05,c1_cross_stall_07,block_or_occupancy,cross,0,0.310687109375,0.3478484375,0.217247802734375
c1_block_cont_05,c1_cross_stall_08,block_or_occupancy,cross,0,0.32963046875,0.3658871875,0.248219873046875
c1_block_cont_05,c1_cross_stall_occ_01,block_or_occupancy,cross,0,0.0646890625,0.062217812500000004,0.042858984375000006
c1_block_cont_05,c1_cross_stall_occ_02,block_or_occupancy,cross,0,0.06586328125,0.0634503125,0.04344599609375
c1_block_cont_05,c1_cross_stall_occ_03,block_or_occupancy,cross,0,0.076441796875,0.073079375,0.047115087890625
c1_block_cont_05,c1_cross_stall_occ_04,block_or_occupancy,cross,0,0.078106640625,0.07471718749999999,0.0478494140625
c1_block_cont_05,c1_cross_stall_occ_05,block_or_occupancy,cross,0,0.029810546875000003,0.03425125,0.01227900390625
c1_block_cont_05,c1_cross_stall_occ_06,block_or_occupancy,cross,0,0.023575390625,0.0224809375,0.016866064453125003
c1_block_cont_05,c1_cross_stall_occ_07,block_or_occupancy,cross,0,0.09112578125000001,0.107538125,0.056076318359375
c1_block_cont_05,c1_cross_stall_occ_08,block_or_occupancy,cross,0,0.106353515625,0.11687687500000002,0.064041845703125
c1_block_cont_05,c1_lead_cont_01,block_or_occupancy,lead,0,0.075591015625,0.0741578125,0.048846484375
c1_block_cont_05,c1_lead_cont_02,block_or_occupancy,lead,0,0.09738203125,0.1026634375,0.060388085937499995
c1_block_cont_05,c1_lead_cont_03,block_or_occupancy,lead,0,0.10221757812500001,0.1138390625,0.06339765624999999
c1_block_cont_05,c1_lead_cont_04,block_or_occupancy,lead,0,0.114109375,0.115521875,0.06828344726562499
c1_block_cont_05,c1_lead_cont_05,block_or_occupancy,lead,0,0.07387421875,0.0761659375,0.047168359374999996
c1_block_cont_05,c1_lead_cont_06,block_or_occupancy,lead,0,0.07692421875000001,0.07964062499999999,0.04852783203125
c1_block_cont_05,c1_lead_cont_07,block_or_occupancy,lead,0,0.078983203125,0.09062593749999999,0.048649853515625
c1_block_cont_05,c1_lead_cont_08,block_or_occupancy,lead,0,0.08296406249999999,0.08415656249999999,0.053926513671875
c1_block_cont_05,c1_lead_nec_01,block_or_occupancy,lead,0,0.3752484375,0.41168468750000003,0.295409912109375
c1_block_cont_05,c1_lead_nec_02,block_or_occupancy,lead,0,0.397039453125,0.44019031250000007,0.306951513671875
c1_block_cont_05,c1_lead_nec_03,block_or_occupancy,lead,0,0.36375195312499997,0.399773125,0.288052490234375
c1_block_cont_05,c1_lead_nec_04,block_or_occupancy,lead,0,0.39056875,0.4310684375,0.30320029296875
c1_block_cont_05,c1_lead_nec_05,block_or_occupancy,lead,0,0.38637421875,0.4261659375,0.300355859375
c1_block_cont_05,c1_lead_nec_06,block_or_occupancy,lead,0,0.38942421875,0.42964062500000005,0.30171533203125
c1_block_cont_05,c1_lead_nec_07,block_or_occupancy,lead,0,0.35078437500000004,0.387575625,0.27303408203125
c1_block_cont_05,c1_lead_nec_08,block_or_occupancy,lead,0,0.38373359375,0.4233121875,0.298008642578125
c1_block_cont_05,c1_lead_opt_01,block_or_occupancy,lead,0,0.38639296875,0.429529375,0.302850927734375
c1_block_cont_05,c1_lead_opt_02,block_or_occupancy,lead,0,0.393053515625,0.43855562500000006,0.30615126953125
c1_block_cont_05,c1_lead_opt_03,block_or_occupancy,lead,0,0.38822890625,0.433470625,0.3036755859375
c1_block_cont_05,c1_lead_opt_04,block_or_occupancy,lead,0,0.375368359375,0.416539375,0.2966994140625
c1_block_cont_05,c1_lead_opt_05,block_or_occupancy,lead,0,0.37268828125,0.41542593749999995,0.294630712890625
