pair_id,state_i,state_j,coarse_i,coarse_j,same_coarse,d0_mean,d0_max,d1_mean,d1_max,closure_drift,n_common_actions,pair_type
block_cont_r10__cross_clear_r4,block_cont_r10,cross_clear_r4,block_or_occupancy,cross,0,0.8051,1.0,0.704074,0.956674,-0.101026,8,cross
block_cont_r10__cross_clear_r5,block_cont_r10,cross_clear_r5,block_or_occupancy,cross,0,0.805037,1.0,0.524272,0.880017,-0.280765,8,cross
block_cont_r10__cross_clear_r6,block_cont_r10,cross_clear_r6,block_or_occupancy,cross,0,0.620413,1.0,0.521377,0.880017,-0.099036,8,cross
block_cont_r10__cross_clear_r7,block_cont_r10,cross_clear_r7,block_or_occupancy,cross,0,0.866825,1.0,0.696993,0.934588,-0.169832,8,cross
block_cont_r10__cross_clear_r8,block_cont_r10,cross_clear_r8,block_or_occupancy,cross,0,0.744563,1.0,0.67892,0.880017,-0.065643,8,cross
block_cont_r10__cross_clear_r9,block_cont_r10,cross_clear_r9,block_or_occupancy,cross,0,0.55795,1.0,0.376739,0.836799,-0.181211,8,cross
block_cont_r10__cross_stall_occ_r1,block_cont_r10,cross_stall_occ_r1,block_or_occupancy,cross,0,0.404112,1.0,0.284443,0.534585,-0.119669,8,cross
block_cont_r10__cross_stall_occ_r10,block_cont_r10,cross_stall_occ_r10,block_or_occupancy,cross,0,0.160013,1.0,0.079607,0.274487,-0.080406,8,cross
block_cont_r10__cross_stall_occ_r11,block_cont_r10,cross_stall_occ_r11,block_or_occupancy,cross,0,0.379062,1.0,0.188416,0.503512,-0.190646,8,cross
block_cont_r10__cross_stall_occ_r12,block_cont_r10,cross_stall_occ_r12,block_or_occupancy,cross,0,0.399112,1.0,0.229201,0.515964,-0.169911,8,cross
block_cont_r10__cross_stall_occ_r2,block_cont_r10,cross_stall_occ_r2,block_or_occupancy,cross,0,0.426288,1.0,0.291607,0.532906,-0.134681,8,cross
block_cont_r10__cross_stall_occ_r3,block_cont_r10,cross_stall_occ_r3,block_or_occupancy,cross,0,0.144325,1.0,0.058192,0.154081,-0.086133,8,cross
block_cont_r10__cross_stall_occ_r4,block_cont_r10,cross_stall_occ_r4,block_or_occupancy,cross,0,0.174275,1.0,0.084646,0.284366,-0.089629,8,cross
block_cont_r10__cross_stall_occ_r5,block_cont_r10,cross_stall_occ_r5,block_or_occupancy,cross,0,0.399175,1.0,0.197491,0.512355,-0.201684,8,cross
