state_id,coarse_mechanism,fine_mechanism,param_group_id,M_U0,V_U0,M_U1,V_U1,M_U2,V_U2,M_U3,V_U3,M_U4,V_U4,M_U5,V_U5,M_U6,V_U6,M_U7,V_U7,datarow_valid,health_reason
cross_stall_occ_r12,cross,cross_stall_occ,cross_stall_occ|v8|d8,1,0.3344,1,0.3004,1,0.2788,1,0.2673,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r2,cross,cross_stall_occ,cross_stall_occ|v6|d7,1,0.4536,1,0.3884,1,0.3478,1,0.3277,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r3,cross,cross_stall_occ,cross_stall_occ|v7|d7,1,0.33,1,0.2903,1,0.2649,1,0.253,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
cross_stall_occ_r4,cross,cross_stall_occ,cross_stall_occ|v7|d7,1,0.429,1,0.3766,1,0.3437,1,0.3275,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
cross_stall_occ_r5,cross,cross_stall_occ,cross_stall_occ|v8|d7,1,0.3351,1,0.3004,1,0.2788,1,0.2678,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r6,cross,cross_stall_occ,cross_stall_occ|v8|d8,1,0.3351,1,0.3004,1,0.2788,1,0.2684,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r7,cross,cross_stall_occ,cross_stall_occ|v6|d6,1,0.3585,1,0.3078,1,0.2744,1,0.2591,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r8,cross,cross_stall_occ,cross_stall_occ|v6|d7,1,0.4355,1,0.3723,1,0.3327,1,0.3141,0,0.0,0,0.0,0,0.0,0,0.0,1,
cross_stall_occ_r9,cross,cross_stall_occ,cross_stall_occ|v7|d7,1,0.3135,1,0.2746,1,0.2511,1,0.2399,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
lead_cont_r1,lead,lead_cont,lead_cont|v6|s5,1,0.4481,1,0.3831,1,0.343,1,0.3231,0,0.0,0,0.0,0,0.0,0,0.0,1,
lead_cont_r10,lead,lead_cont,lead_cont|v9|s8,1,0.4938,1,0.4778,1,0.4502,1,0.438,1,0.1054,0,0.0,0,0.0,0,0.0,1,
lead_cont_r11,lead,lead_cont,lead_cont|v7|s6,1,0.4749,1,0.4162,1,0.3799,1,0.3625,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
lead_cont_r12,lead,lead_cont,lead_cont|v8|s7,1,0.5904,1,0.5292,1,0.4912,1,0.4728,0,0.0,0,0.0,0,0.0,0,0.0,1,
lead_cont_r2,lead,lead_cont,lead_cont|v6|s5,1,0.6234,1,0.5329,1,0.4765,1,0.4495,0,0.0,0,0.0,0,0.0,0,0.0,1,
lead_cont_r3,lead,lead_cont,lead_cont|v7|s5,1,0.4849,1,0.4257,1,0.3897,1,0.3713,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
lead_cont_r4,lead,lead_cont,lead_cont|v7|s6,1,0.5897,1,0.5176,1,0.4724,1,0.4502,1,0.1076,1,0.0945,0,0.0,0,0.0,1,
lead_cont_r5,lead,lead_cont,lead_cont|v8|s6,1,0.484,1,0.4338,1,0.4027,1,0.3876,0,0.0,0,0.0,0,0.0,0,0.0,1,
lead_cont_r6,lead,lead_cont,lead_cont|v8|s7,1,0.633,1,0.5667,1,0.526,1,0.5064,0,0.0,0,0.0,0,0.0,0,0.0,1,
lead_cont_r7,lead,lead_cont,lead_cont|v8|s7,1,0.5904,1,0.5292,1,0.4912,1,0.4728,0,0.0,0,0.0,0,0.0,0,0.0,1,
lead_cont_r8,lead,lead_cont,lead_cont|v9|s7,1,0.4938,1,0.4778,1,0.4502,1,0.438,1,0.1054,0,0.0,0,0.0,0,0.0,1,
lead_cont_r9,lead,lead_cont,lead_cont|v9|s8,1,0.5243,1,0.4789,1,0.4502,1,0.438,1,0.1054,0,0.0,0,0.0,0,0.0,1,
lead_nec_r1,lead,lead_nec,lead_nec|v6|s5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
lead_nec_r10,lead,lead_nec,lead_nec|v9|s8,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,
