state_i,state_j,coarse_i,coarse_j,fine_i,fine_j,group_i,group_j,same_coarse,same_fine,same_param_group,ego_speed_diff,d0_mean,d0_max
block_cont_r10,cross_clear_r2,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v6|d6,0,0,0,1.0,0.799362,1.0
block_cont_r10,cross_clear_r3,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v6|d7,0,0,0,1.0,0.891912,1.0
block_cont_r10,cross_clear_r4,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v6|d8,0,0,0,1.0,0.8051,1.0
block_cont_r10,cross_clear_r5,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v7|d5,0,0,0,0.0,0.805037,1.0
block_cont_r10,cross_clear_r6,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v7|d6,0,0,0,0.0,0.620413,1.0
block_cont_r10,cross_clear_r7,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v7|d7,0,0,0,0.0,0.866825,1.0
block_cont_r10,cross_clear_r8,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v7|d8,0,0,0,0.0,0.744563,1.0
block_cont_r10,cross_clear_r9,block_or_occupancy,cross,block_cont,cross_clear,block_cont|v7|L6,cross_clear|v8|d5,0,0,0,1.0,0.55795,1.0
block_cont_r10,cross_stall_occ_r1,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v7|L6,cross_stall_occ|v6|d6,0,0,0,1.0,0.404112,1.0
block_cont_r10,cross_stall_occ_r10,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v7|L6,cross_stall_occ|v7|d7,0,0,0,0.0,0.160013,1.0
block_cont_r10,cross_stall_occ_r11,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v7|L6,cross_stall_occ|v8|d7,0,0,0,1.0,0.379062,1.0
block_cont_r10,cross_stall_occ_r12,block_or_occupancy,cross,block_cont,cross_stall_occ,block_cont|v7|L6,cross_stall_occ|v8|d8,0,0,0,1.0,0.399112,1.0
