scene,group,v0,s0,quadrant,expected,pass,G0,GL,n_branches,P0_2,P0_4,P0_6,P0_8,P0_10,PL_2,PL_4,PL_6,PL_8,PL_10,Pfree_2,Pfree_4,Pfree_6,Pfree_8,Pfree_10
G1,2,7,23.39,LateralNecessary,GL>0,True,0.0,12.375,20,17.0,34.31,36.25,36.5,36.5,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
G1,3,7,23.39,LateralNecessary,GL>0,True,0.062,12.375,20,17.0,39.88,51.38,51.38,51.5,-1.0,39.88,64.62,89.38,114.12,17.0,39.88,64.62,89.38,114.12
G1,4,9,36.23,LateralNecessary,GL>0,True,0.0,12.375,20,21.0,45.75,56.56,56.62,56.62,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
G1,5,9,36.23,LateralNecessary,GL>0,True,0.0,12.375,20,21.0,45.75,57.5,59.62,59.62,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
G1,6,9,36.23,LateralNecessary,GL>0,True,0.0,12.375,20,21.0,45.75,48.12,48.62,48.62,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
G1,7,9,36.23,LateralNecessary,GL>0,True,0.0,12.375,20,21.0,36.06,37.56,37.62,37.62,-1.0,45.75,70.5,95.25,120.0,21.0,45.75,70.5,95.25,120.0
G1,8,8,29.27,LateralNecessary,GL>0,True,0.0,12.375,20,19.0,43.12,50.5,50.56,50.56,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
G2,1,7,23.39,Contingency/Wait,both~0,True,0.0,,40,17.0,38.38,40.31,40.44,40.44,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,39.88,64.62,89.38,114.12
G2,2,7,23.39,Contingency/Wait,both~0,True,0.0,,20,17.0,34.31,36.25,36.5,36.5,-1.0,-1.0,-1.0,-1.0,40.25,17.0,39.88,64.62,89.38,114.12
G2,3,7,23.39,Contingency/Wait,both~0,True,0.031,,40,17.0,39.88,51.38,51.38,51.44,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,39.88,64.62,89.38,114.12
G2,4,9,36.23,Contingency/Wait,both~0,True,0.0,,20,21.0,45.75,47.56,47.62,47.62,-1.0,-1.0,-1.0,-1.0,51.56,21.0,45.75,70.5,95.25,120.0
G2,5,9,36.23,Contingency/Wait,both~0,True,0.0,,20,21.0,45.75,57.5,59.62,59.62,-1.0,-1.0,-1.0,-1.0,89.75,21.0,45.75,70.5,95.25,120.0
G2,6,9,36.23,Contingency/Wait,both~0,True,0.0,,20,21.0,45.75,48.12,48.62,48.62,-1.0,-1.0,-1.0,-1.0,50.31,21.0,45.75,70.5,95.25,120.0
G2,7,9,36.23,Contingency/Wait,both~0,True,0.0,,40,21.0,36.06,37.56,37.62,37.62,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,45.75,70.5,95.25,120.0
G2,8,8,29.27,Contingency/Wait,both~0,True,0.031,,40,19.0,43.12,50.5,50.5,50.56,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,43.12,67.88,92.62,117.38
G3,1,6,18.15,LateralOptional,G0>0,True,7.219,12.375,76,15.0,36.0,56.5,72.62,87.06,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
G3,2,6,18.15,LateralOptional,G0>0,True,9.25,12.375,80,15.0,28.56,32.44,44.94,63.44,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
G3,3,6,18.15,LateralOptional,G0>0,True,6.0,12.375,60,15.0,36.0,42.56,46.38,58.38,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
G3,4,8,29.27,LateralOptional,G0>0,True,6.75,12.375,68,17.5,17.56,19.0,26.5,40.0,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
G3,5,8,29.27,LateralOptional,G0>0,True,3.0,12.375,40,17.5,17.56,17.56,18.31,24.31,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
G3,6,8,29.27,LateralOptional,G0>0,True,11.0,12.375,84,19.0,43.12,67.88,91.38,113.38,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
G3,7,8,29.27,LateralOptional,G0>0,True,8.75,12.375,80,19.0,31.5,34.56,46.06,63.56,-1.0,43.12,67.88,92.62,117.38,19.0,43.12,67.88,92.62,117.38
G3,8,6,18.15,LateralOptional,G0>0,True,12.375,12.375,100,15.0,36.0,60.75,85.5,110.25,-1.0,36.0,60.75,85.5,110.25,15.0,36.0,60.75,85.5,110.25
