route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route3,HardBreakRoute_10,HardBreakRoute,621,-1,30,3719,6,3.07349,0.88792,3.461,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000621.npz
route3,HardBreakRoute_10,HardBreakRoute,625,-1,30,3719,6,2.87959,0.94982,3.032,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000625.npz
route3,HardBreakRoute_10,HardBreakRoute,629,-1,30,3719,6,1.69346,1.15786,1.463,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000629.npz
route3,HardBreakRoute_10,HardBreakRoute,633,-1,30,3719,6,1.65705,1.15621,1.433,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000633.npz
route3,HardBreakRoute_10,HardBreakRoute,637,-1,30,3719,6,1.80839,1.14299,1.582,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000637.npz
route3,HardBreakRoute_10,HardBreakRoute,641,-1,30,3719,6,1.69985,1.13887,1.493,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000641.npz
route3,HardBreakRoute_10,HardBreakRoute,645,-1,30,3719,6,2.28046,1.03642,2.2,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000645.npz
route3,HardBreakRoute_10,HardBreakRoute,649,-1,30,3719,6,2.93317,0.87847,3.339,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000649.npz
route3,HardBreakRoute_10,HardBreakRoute,653,-1,30,3719,6,1.75909,1.09829,1.602,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000653.npz
route3,HardBreakRoute_10,HardBreakRoute,657,-1,30,3719,6,1.60388,1.0901,1.471,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000657.npz
route3,HardBreakRoute_10,HardBreakRoute,661,-1,30,3719,6,2.25405,1.03665,2.174,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000661.npz
route3,HardBreakRoute_10,HardBreakRoute,665,-1,30,3719,6,1.34073,1.09626,1.223,1,0,0,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000665.npz
route3,HardBreakRoute_10,HardBreakRoute,669,-1,30,3719,6,2.48713,0.91917,2.706,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000669.npz
route3,HardBreakRoute_10,HardBreakRoute,673,-1,30,3719,6,1.78393,1.04401,1.709,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000673.npz
route3,HardBreakRoute_10,HardBreakRoute,677,-1,30,3719,6,2.47083,0.97791,2.527,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000677.npz
route3,HardBreakRoute_10,HardBreakRoute,681,-1,30,3719,6,1.76646,1.04077,1.697,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000681.npz
route3,HardBreakRoute_10,HardBreakRoute,685,-1,30,3719,6,3.03722,0.80165,3.789,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000685.npz
route3,HardBreakRoute_10,HardBreakRoute,689,-1,30,3719,6,1.85558,1.02919,1.803,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000689.npz
route3,HardBreakRoute_10,HardBreakRoute,693,-1,30,3719,6,1.80176,1.01637,1.773,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000693.npz
route3,HardBreakRoute_10,HardBreakRoute,697,-1,30,3719,6,1.6936,1.01209,1.673,1,1,1,outputs/gate6/snapshots/exact_town12_route3_discovery_route0_09_04_17_01_56/f000697.npz
